benchmark,fuzzer,edges
bloaty_fuzz_target,aflplusplus_ast_o0_lto,22
bloaty_fuzz_target,aflplusplus_ast_o3_lto,552
bloaty_fuzz_target,aflplusplus_ast_o3_native,0
bloaty_fuzz_target,aflplusplus_ast_opt_disable,14
bloaty_fuzz_target,aflplusplus_ast_opt_l1,7
lcms-2017-03-21,aflplusplus_ast_f0,0
lcms-2017-03-21,aflplusplus_ast_f1,27
lcms-2017-03-21,aflplusplus_ast_o0,0
lcms-2017-03-21,aflplusplus_ast_o1,11
lcms-2017-03-21,aflplusplus_ast_o2,12
lcms-2017-03-21,aflplusplus_ast_o3,55
openthread-2019-12-23,aflplusplus_ast_f0,0
openthread-2019-12-23,aflplusplus_ast_f1,0
openthread-2019-12-23,aflplusplus_ast_o0,0
openthread-2019-12-23,aflplusplus_ast_o1,15
openthread-2019-12-23,aflplusplus_ast_o2,580
openthread-2019-12-23,aflplusplus_ast_o3,0
openthread-2019-12-23,aflplusplus_ast_o0_lto,12
openthread-2019-12-23,aflplusplus_ast_o3_lto,0
sqlite3_ossfuzz,aflplusplus_ast_f0,44
sqlite3_ossfuzz,aflplusplus_ast_f1,149
sqlite3_ossfuzz,aflplusplus_ast_o0,7
sqlite3_ossfuzz,aflplusplus_ast_o1,124
sqlite3_ossfuzz,aflplusplus_ast_o2,175
sqlite3_ossfuzz,aflplusplus_ast_o3,131
bloaty_fuzz_target,aflplusplus_ast_f0,0
bloaty_fuzz_target,aflplusplus_ast_f1,0
bloaty_fuzz_target,aflplusplus_ast_o0,0
bloaty_fuzz_target,aflplusplus_ast_o1,0
bloaty_fuzz_target,aflplusplus_ast_o2,0
bloaty_fuzz_target,aflplusplus_ast_o3,0
woff2-2016-05-06,aflplusplus_ast_o3_native,5
woff2-2016-05-06,aflplusplus_ast_opt_disable,0
woff2-2016-05-06,aflplusplus_ast_opt_l1,1
woff2-2016-05-06,aflplusplus_ast_f0,1
woff2-2016-05-06,aflplusplus_ast_f1,0
woff2-2016-05-06,aflplusplus_ast_o0,0
woff2-2016-05-06,aflplusplus_ast_o1,0
woff2-2016-05-06,aflplusplus_ast_o2,35
woff2-2016-05-06,aflplusplus_ast_o3,0
sqlite3_ossfuzz,aflplusplus_ast_o3_native,20
sqlite3_ossfuzz,aflplusplus_ast_opt_disable,85
sqlite3_ossfuzz,aflplusplus_ast_opt_l1,441
sqlite3_ossfuzz,aflplusplus_ast_o0_lto,318
sqlite3_ossfuzz,aflplusplus_ast_o3_lto,752
lcms-2017-03-21,aflplusplus_ast_o3_native,86
lcms-2017-03-21,aflplusplus_ast_opt_disable,2
lcms-2017-03-21,aflplusplus_ast_opt_l1,3
woff2-2016-05-06,aflplusplus_ast_o0_lto,0
woff2-2016-05-06,aflplusplus_ast_o3_lto,117
openthread-2019-12-23,aflplusplus_ast_o3_native,0
openthread-2019-12-23,aflplusplus_ast_opt_disable,0
openthread-2019-12-23,aflplusplus_ast_opt_l1,0
