libhtp_fuzz_htp,aflplusplus_ast_f0,0
libhtp_fuzz_htp,aflplusplus_ast_f1,1
libhtp_fuzz_htp,aflplusplus_ast_o0,2
libhtp_fuzz_htp,aflplusplus_ast_o1,0
libhtp_fuzz_htp,aflplusplus_ast_o2,1
libhtp_fuzz_htp,aflplusplus_ast_o3,1
stb_stbi_read_fuzzer,aflplusplus_ast_f0,76
stb_stbi_read_fuzzer,aflplusplus_ast_f1,295
stb_stbi_read_fuzzer,aflplusplus_ast_o0,42
stb_stbi_read_fuzzer,aflplusplus_ast_o1,15
stb_stbi_read_fuzzer,aflplusplus_ast_o2,29
stb_stbi_read_fuzzer,aflplusplus_ast_o3,41
freetype2-2017,aflplusplus_ast_f0,13
freetype2-2017,aflplusplus_ast_f1,78
freetype2-2017,aflplusplus_ast_o0,5
freetype2-2017,aflplusplus_ast_o1,4
freetype2-2017,aflplusplus_ast_o2,104
freetype2-2017,aflplusplus_ast_o3,14
bloaty_fuzz_target,aflplusplus_ast_f0,1
bloaty_fuzz_target,aflplusplus_ast_f1,0
bloaty_fuzz_target,aflplusplus_ast_o0,6
bloaty_fuzz_target,aflplusplus_ast_o1,5
bloaty_fuzz_target,aflplusplus_ast_o2,1
bloaty_fuzz_target,aflplusplus_ast_o3,6
curl_curl_fuzzer_http,aflplusplus_ast_f0,0
curl_curl_fuzzer_http,aflplusplus_ast_f1,0
curl_curl_fuzzer_http,aflplusplus_ast_o0,0
curl_curl_fuzzer_http,aflplusplus_ast_o1,0
curl_curl_fuzzer_http,aflplusplus_ast_o2,0
curl_curl_fuzzer_http,aflplusplus_ast_o3,0
lcms-2017-03-21,aflplusplus_ast_f0,0
lcms-2017-03-21,aflplusplus_ast_f1,0
lcms-2017-03-21,aflplusplus_ast_o0,2
lcms-2017-03-21,aflplusplus_ast_o1,0
lcms-2017-03-21,aflplusplus_ast_o2,1
lcms-2017-03-21,aflplusplus_ast_o3,1
libpng-1.2.56,aflplusplus_ast_f0,58
libpng-1.2.56,aflplusplus_ast_f1,3
libpng-1.2.56,aflplusplus_ast_o0,3
libpng-1.2.56,aflplusplus_ast_o1,45
libpng-1.2.56,aflplusplus_ast_o2,1
libpng-1.2.56,aflplusplus_ast_o3,1
vorbis-2017-12-11,aflplusplus_ast_o3_native,2
vorbis-2017-12-11,aflplusplus_ast_opt_disable,0
vorbis-2017-12-11,aflplusplus_ast_opt_l1,2
libjpeg-turbo-07-2017,aflplusplus_ast_o3_native,3392
harfbuzz-1.3.2,aflplusplus_ast_o3_native,590
harfbuzz-1.3.2,aflplusplus_ast_opt_l1,49
freetype2-2017,aflplusplus_ast_o3_native,1021
freetype2-2017,aflplusplus_ast_opt_disable,164
freetype2-2017,aflplusplus_ast_opt_l1,431
bloaty_fuzz_target,aflplusplus_ast_o3_native,0
bloaty_fuzz_target,aflplusplus_ast_opt_disable,393
bloaty_fuzz_target,aflplusplus_ast_opt_l1,76
jsoncpp_jsoncpp_fuzzer,aflplusplus_ast_o3_native,0
jsoncpp_jsoncpp_fuzzer,aflplusplus_ast_opt_disable,3
jsoncpp_jsoncpp_fuzzer,aflplusplus_ast_opt_l1,1
lcms-2017-03-21,aflplusplus_ast_o3_native,76
lcms-2017-03-21,aflplusplus_ast_opt_disable,2
lcms-2017-03-21,aflplusplus_ast_opt_l1,1
libpng-1.2.56,aflplusplus_ast_o3_native,0
libpng-1.2.56,aflplusplus_ast_opt_disable,0
libpng-1.2.56,aflplusplus_ast_opt_l1,0
